,Hà Nội,Đà Nẵng,Bình Dương,Hà Nội_lower_limit,Đà Nẵng_lower_limit,Bình Dương_lower_limit,Hà Nội_upper_limit,Đà Nẵng_upper_limit,Bình Dương_upper_limit
2019-11-06,154.0,36.0,77.0,100.18689036866294,22.921999632070808,51.42235793290959,207.74549995103257,47.11486203659692,102.50267639556023
2019-11-07,133.0,37.0,80.0,76.55564793177066,23.577279640493696,53.77109432150981,187.80142276734804,48.48789392655269,106.13625253210394
2019-11-08,134.0,31.0,76.0,77.57707604536455,17.451230477135695,48.302045883706086,189.3177998249306,43.33386121906376,101.9212631449764
2019-11-09,128.0,38.0,69.0,71.8138593769421,24.6986078642948,40.810817952923955,183.60156103715096,50.68733084409432,95.65542832399585
2019-11-10,127.0,35.0,72.0,68.76916648927434,21.253226502080633,43.065125024755304,183.6804536420377,47.87206726285423,99.10834150809129
2019-11-11,131.0,32.0,74.0,72.64614195421416,18.206881689223096,45.35185960298975,187.622906492999,44.93657964378235,102.56857867042172
2019-11-12,120.0,29.0,76.0,61.864780189729125,14.802192410681409,46.80156394636134,176.9737852939571,42.07689780152596,105.16819626213584
2019-11-13,130.0,33.0,80.0,71.71895047483207,18.937816485626897,49.650899991191224,187.13083017880854,46.238693061995306,109.70225240425721
2019-11-14,138.0,30.0,83.0,79.3971137247598,15.996508943649886,51.9272205800859,194.8188440555139,43.720381218535294,113.18836221921583
2019-11-15,140.0,35.0,78.0,81.36263596247097,21.017524576750553,46.69301925589539,197.2107245305698,48.85029044172507,109.14051783649478
2019-11-16,106.0,29.0,72.0,46.51606232095824,13.87750342906076,39.514206057898356,163.62457543990544,42.129320425828865,103.1259387254043
2019-11-17,129.0,32.0,75.0,69.56917941582932,16.919857684545676,41.6916821826558,186.67792099128692,45.30199330277349,106.44672049590608
2019-11-18,157.0,35.0,77.0,97.63660259611066,19.841902942167156,43.89816448805724,215.52707587847442,48.60706297551151,109.77666963912131
2019-11-19,145.0,38.0,79.0,84.98444891477402,22.914116106069134,45.298936195984176,203.4723586111558,51.82380200120451,112.28206761671615
2019-11-20,139.0,34.0,83.0,78.65166385168831,18.81750679508088,48.065762679331506,197.94320001907383,48.33476306946516,116.6231354793864
2019-11-21,141.0,37.0,86.0,80.57062977351579,21.486595111745167,50.260282973062026,201.11411736288187,51.19657665912967,119.9798916674392
2019-11-22,140.0,32.0,81.0,78.6953072889207,16.596437685199785,45.24068849327991,199.62007583713526,46.69394084636774,116.10347552066494
2019-11-23,115.0,39.0,75.0,54.388789243139435,23.341270441744747,38.352128236418025,175.4311387487637,53.61730783935081,110.33993906822334
2019-11-24,131.0,36.0,77.0,69.5182296657496,20.364827048167875,40.44706814903366,191.6541890883652,50.99315714750333,113.54258943059395
2019-11-25,158.0,33.0,80.0,96.53360409542293,17.400742227792293,42.56860609723456,218.8868141319658,48.21567882936854,116.75530001528344
2019-11-26,151.0,30.0,82.0,89.1265619524042,14.394115730303485,43.91527895357188,211.78250658086603,45.53920435429816,119.17732700939831
2019-11-27,140.0,34.0,85.0,77.04215965814599,18.17039778741965,46.58988366858116,202.18444027687633,49.38608401884481,123.34605465922547
2019-11-28,145.0,32.0,88.0,81.64971206207616,15.557009868533946,48.699281256491574,207.1550576920922,47.04004672712413,126.58516136523774
2019-11-29,145.0,36.0,84.0,81.26834067609894,20.167242153236515,43.87985233222313,207.3169118625221,51.80862707269138,122.87929111868416
2019-11-30,118.0,30.0,78.0,54.54862879962173,13.609525331914952,37.26467108465579,181.16284267898806,45.53179004517898,117.36218458103315
2019-12-01,136.0,33.0,80.0,71.97255785330094,16.384083155566493,39.2755035605717,198.97127488488707,48.476686846025935,120.45624024131936
2019-12-02,161.0,36.0,83.0,96.82264535060513,19.212432838866803,41.31106996374004,224.38302887265598,51.57331509443718,123.56076508630821
2019-12-03,152.0,39.0,85.0,87.82012022700772,22.027085130209635,42.60179198163337,215.8732023368826,54.56379728648283,125.90672993540633
2019-12-04,145.0,35.0,88.0,79.27074281806252,18.301093952462562,45.1800834558638,208.90876985718086,51.287908761129074,129.91771060670433
2019-12-05,148.0,38.0,91.0,82.12413540728876,20.749068238580307,47.203910421302545,212.56889198022208,53.95033927763694,133.0476647694203
